"Category","Configuration","ID","CN","TH","VN","KR","JP"
"HOT GAMES","RNG team","Permainan Hot","<U+70ED><U+95E8><U+6E38><U+620F>","<U+0E40><U+0E01><U+0E21><U+0E22><U+0E2D><U+0E14><U+0E19><U+0E34><U+0E22><U+0E21>","TRÒ CHOI HOT","<U+C778><U+AE30> <U+AC8C><U+C784>","<U+30DB><U+30C3><U+30C8><U+30B2><U+30FC><U+30E0>"
"FEATURED GAMES","RNG team","Permainan Terbaik","<U+7279><U+8272><U+6E38><U+620F>","<U+0E40><U+0E01><U+0E21><U+0E41><U+0E19><U+0E30><U+0E19><U+0E33>","TRÒ CHOI N<U+1ED4>I B<U+1EAC>T","<U+C8FC><U+C694> <U+AC8C><U+C784>","<U+6CE8><U+76EE><U+306E><U+30B2><U+30FC><U+30E0>"
"Genie's Luck","RNG team [Occasional Section]","Genie's Luck","Genie's Luck","Genie's Luck","Genie's Luck","Genie's Luck","Genie's Luck"
"PROGRESSIVE JACKPOTS","RNG team","Jackpot Progresif","<U+7D2F><U+79EF><U+5956><U+91D1>","<U+0E41><U+0E08><U+0E47><U+0E04><U+0E1E><U+0E2D><U+0E15> <U+0E23><U+0E32><U+0E07><U+0E27><U+0E31><U+0E25><U+0E43><U+0E2B><U+0E0D><U+0E48>","JACKPOT LU<U+1EF8> TI<U+1EBE>N","<U+D504><U+B85C><U+ADF8><U+B808><U+C2DC><U+BE0C> <U+C7AD><U+D31F>","<U+30D7><U+30ED><U+30B0><U+30EC><U+30C3><U+30B7><U+30D6> <U+30B8><U+30E3><U+30C3><U+30AF><U+30DD><U+30C3><U+30C8>"
"NEW GAMES","RNG team","Permainan Baru","<U+65B0><U+6E38><U+620F>","<U+0E40><U+0E01><U+0E21><U+0E43><U+0E2B><U+0E21><U+0E48>","TRÒ CHOI M<U+1EDA>I","<U+C2E0><U+ADDC> <U+AC8C><U+C784>","<U+65B0><U+7740><U+30B2><U+30FC><U+30E0>"
"KINGMAKER","RNG team","KINGMAKER","KINGMAKER","KINGMAKER","KINGMAKER","KINGMAKER","KINGMAKER"
"HIGHLY RECOMMENDED","RNG team","Sangat direkomendasi","<U+5F3A><U+70C8><U+63A8><U+8350>","<U+0E41><U+0E19><U+0E30><U+0E19><U+0E33><U+0E40><U+0E1B><U+0E47><U+0E19><U+0E2D><U+0E22><U+0E48><U+0E32><U+0E07><U+0E22><U+0E34><U+0E48><U+0E07>","ÐU<U+1EE2>C Ð<U+1EC0> XU<U+1EA4>T CAO","<U+CD94><U+CC9C> <U+AC8C><U+C784>","<U+30A4><U+30C1><U+63A8><U+3057><U+30B2><U+30FC><U+30E0>"
"Special Selection","RNG team [Odds Players]","Pilihan Spesial","<U+6E38><U+620F><U+7CBE><U+9009>","<U+0E40><U+0E25><U+0E37><U+0E2D><U+0E01><U+0E2A><U+0E23><U+0E23><U+0E2D><U+0E22><U+0E48><U+0E32><U+0E07><U+0E1E><U+0E34><U+0E40><U+0E28><U+0E29>","L<U+1EF1>a ch<U+1ECD>n d<U+1EB7>c bi<U+1EC7>t","<U+D2B9><U+BCC4> <U+CD94><U+CC9C>","<U+30B9><U+30DA><U+30B7><U+30E3><U+30EB><U+30BB><U+30EC><U+30AF><U+30B7><U+30E7><U+30F3>"
"BONUS BUY","Graphyte","Beli Bonus","<U+8D2D><U+4E70><U+5956><U+91D1>","<U+0E0B><U+0E37><U+0E49><U+0E2D><U+0E42><U+0E1A><U+0E19><U+0E31><U+0E2A>","MUA THU<U+1EDE>NG","<U+D504><U+B9AC> <U+C2A4><U+D540> <U+AD6C><U+B9E4>","<U+30DC><U+30FC><U+30CA><U+30B9><U+30D0><U+30A4><U+6A5F><U+80FD>"
"GAMES WITH HOT DEALS","Graphyte","Tawaran Menarik","<U+706B><U+7206><U+7684><U+6E38><U+620F>","<U+0E40><U+0E01><U+0E21><U+0E2A><U+0E4C><U+0E1E><U+0E23><U+0E49><U+0E2D><U+0E21><U+0E02><U+0E49><U+0E2D><U+0E40><U+0E2A><U+0E19><U+0E2D><U+0E2A><U+0E38><U+0E14><U+0E2E><U+0E2D><U+0E15>","TRÒ CHOI CÓ UU ÐÃI H<U+1EA4>P D<U+1EAA>N","<U+D56B><U+B51C> <U+AC8C><U+C784>","<U+30D7><U+30ED><U+30E2><U+30FC><U+30B7><U+30E7><U+30F3>"
